No,Product Type,Color Palette Name,Primary Color,Secondary Color,Accent Color,Success Color,Warning Color,Error Color,Background Color,Text Color,Contrast Ratio (AA),Contrast Ratio (AAA),Accessibility Note,Vibe
1,SaaS (General),Trust & Modernity,#0052FF (Blue),#4D7CFF (Light Blue),#6366F1 (Indigo),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#0F172A (Slate),4.5+,7+,WCAG AA Compliant,Professional
2,Micro SaaS,Indie Vibrant,#FF4D4D (Red),#FF7676 (Coral),#00D1FF (Cyan),#22C55E (Green),#FFB800 (Yellow),#FF0000 (Red),#F8FAFC (Grey),#1E293B (Dark),4.5+,7+,High Contrast,Energetic
3,E-commerce,Sales Focus,#2563EB (Blue),#3B82F6 (Light Blue),#FACC15 (Yellow),#16A34A (Green),#EA580C (Orange),#DC2626 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Action oriented,Trustworthy
4,E-commerce Luxury,Premium Elegance,#1A1A1A (Black),#404040 (Dark Grey),#D4AF37 (Gold),#2F5233 (Dark Green),#8B4513 (Saddle Brown),#7B0000 (Deep Red),#FDFDFD (Off-White),#000000 (Black),4.5+,7+,Premium material feel,Sophisticated
5,B2B Service,Authority & Credibility,#1E3A8A (Navy),#3B82F6 (Blue),#94A3B8 (Slate),#059669 (Emerald),#D97706 (Amber),#B91C1C (Red),#FFFFFF (White),#0F172A (Slate),4.5+,7+,Corporate trust,Authoritative
6,Financial Dashboard,Deep OLED,#000000 (Black),#121212 (Dark Grey),#00E0FF (Cyan),#22C55E (Green),#F59E0B (Amber),#EF4444 (Red),#000000 (Black),#FFFFFF (White),7+,21+,OLED Power Saving,Modern
7,Analytics Dashboard,Data Clarity,#FFFFFF (White),#F1F5F9 (Light Grey),#3B82F6 (Blue),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#1E293B (Slate),4.5+,7+,Readable data viz,Functional
8,Healthcare App,Calm Clinical,#0EA5E9 (Sky),#7DD3FC (Light Sky),#10B981 (Green),#059669 (Emerald),#F59E0B (Amber),#EF4444 (Red),#F0F9FF (Light Blue),#0C4A6E (Dark Blue),4.5+,7+,Soothing for patients,Safe
9,Educational App,Playful Learning,#F43F5E (Rose),#FB7185 (Light Rose),#FACC15 (Yellow),#22C55E (Green),#F97316 (Orange),#EF4444 (Red),#FFF1F2 (Cream),#4C0519 (Dark Rose),4.5+,7+,Engaging for students,Playful
10,Creative Agency,Bold Expression,#000000 (Black),#FF0000 (Red),#FFFF00 (Yellow),#00FF00 (Green),#FFA500 (Orange),#FF00FF (Magenta),#FFFFFF (White),#000000 (Black),7+,21+,High visual impact,Artistic
11,Portfolio/Personal,Personal Branding,#3B82F6 (Blue),#60A5FA (Light Blue),#F472B6 (Pink),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Expressive & unique,Personal
12,Gaming,Immersive Neon,#0F172A (Dark),#1E293B (Slate),#39FF14 (Neon Green),#00FF00 (Green),#FFFF00 (Yellow),#FF0000 (Red),#020617 (Midnight),#F8FAFC (Light),7+,21+,Game interface feel,Exciting
13,Government/Public Service,Public Trust,#003366 (Dark Blue),#0055AA (Blue),#DDDDDD (Grey),#008800 (Green),#AA6600 (Brown),#CC0000 (Red),#FFFFFF (White),#000000 (Black),7+,21+,WCAG AAA Mandatory,Reliable
14,Fintech/Crypto,Web3 Tech,#1E293B (Dark Blue),#334155 (Slate Blue),#8B5CF6 (Violet),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#0F172A (Midnight),#FFFFFF (White),4.5+,7+,Security & Tech feel,Future
15,Social Media App,Engagement Vibrant,#1D9BF0 (Twitter Blue),#00BA7C (Green),#F91880 (Pink),#00BA7C (Green),#FFD400 (Yellow),#F4212E (Red),#FFFFFF (White),#0F1419 (Black),4.5+,7+,Interactive & lively,Connected
16,Productivity Tool,Flow State,#4F46E5 (Indigo),#818CF8 (Light Indigo),#10B981 (Green),#22C55E (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#1F2937 (Grey),4.5+,7+,Clear focus,Efficient
17,Design System,Systematic,#111827 (Black),#374151 (Grey),#3B82F6 (Blue),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#F9FAFB (Light),#111827 (Dark),4.5+,7+,Component contrast,Consistent
18,AI/Chatbot Platform,AI Intelligence,#6366F1 (AI Purple),#818CF8 (Light Purple),#10B981 (Success),#22C55E (Green),#F59E0B (Amber),#EF4444 (Red),#FAFAFA (White),#0F172A (Dark),4.5+,7+,Tech & friendly,Intelligent
19,NFT/Web3 Platform,Cyber Crypto,#0F172A (Midnight),#1E293B (Slate),#FFD700 (Gold),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#020617 (Black),#FFFFFF (White),7+,21+,High-value tech,Futuristic
20,Creator Economy Platform,Creative Pulse,#EC4899 (Pink),#F472B6 (Light Pink),#8B5CF6 (Violet),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Expressive & Bold,Creative
21,Remote Work/Collaboration,Calm Collaboration,#3B82F6 (Blue),#93C5FD (Light Blue),#6B7280 (Grey),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#F3F4F6 (Light Grey),#1F2937 (Slate),4.5+,7+,Team focus,Collaborative
22,Mental Health App,Healing Pastels,#A5B4FC (Soft Blue),#C7D2FE (Pale Blue),#FBCFE8 (Soft Pink),#34D399 (Soft Green),#FDE68A (Soft Yellow),#FDA4AF (Soft Red),#F8FAFC (White),#1E1B4B (Dark Blue),4.5+,7+,Calming & Safe,Peaceful
23,Pet Tech App,Friendly Furry,#F59E0B (Amber),#FBBF24 (Yellow),#EC4899 (Pink),#10B981 (Green),#F97316 (Orange),#EF4444 (Red),#FFFBEB (Cream),#451A03 (Brown),4.5+,7+,Warm & welcoming,Friendly
24,Smart Home/IoT,Tech Ambient,#1F2937 (Slate),#374151 (Grey),#06B6D4 (Cyan),#22C55E (Green),#F59E0B (Amber),#EF4444 (Red),#0F172A (Dark),#FFFFFF (White),4.5+,7+,Intuitive status,Modern
25,EV/Charging Ecosystem,Electric Green,#009CD1 (Electric Blue),#38BDF8 (Light Blue),#22C55E (Green),#16A34A (Green),#FACC15 (Yellow),#DC2626 (Red),#F8FAFC (Light),#0F172A (Dark),4.5+,7+,Energy feel,Efficient
26,Subscription Box Service,Exciting Reveal,#8B5CF6 (Violet),#A78BFA (Light Violet),#FB923C (Orange),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#F5F3FF (Light Violet),#1E1B4B (Dark Blue),4.5+,7+,Surprise & delight,Exciting
27,Podcast Platform,Audio Wave,#111827 (Black),#1F2937 (Grey),#6366F1 (Indigo),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#020617 (Dark),#F9FAFB (Light),7+,21+,Audio focus,Professional
28,Dating App,Romantic Spark,#F43F5E (Rose),#FB7185 (Pink),#8B5CF6 (Violet),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFF1F2 (Light Rose),#4C0519 (Dark Rose),4.5+,7+,Emotion & warmth,Romantic
29,Micro-Credentials,Verified Trust,#1E3A8A (Navy),#3B82F6 (Blue),#F59E0B (Amber),#059669 (Emerald),#D97706 (Amber),#B91C1C (Red),#FFFFFF (White),#0F172A (Slate),4.5+,7+,Academic credibility,Authoritative
30,Knowledge Base/Doc,Clean Info,#111827 (Black),#4B5563 (Grey),#2563EB (Blue),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Readability focus,Functional
31,Hyperlocal Services,Local Hub,#2563EB (Blue),#60A5FA (Light Blue),#EF4444 (Red),#10B981 (Green),#F59E0B (Amber),#DC2626 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Fast recognition,Reliable
32,Beauty/Spa/Wellness,Soft Serenity,#D946EF (Fuchsia),#F0ABFC (Light Fuchsia),#F59E0B (Amber),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FDF4FF (Light Pink),#4A044E (Dark Pink),4.5+,7+,Relaxing visuals,Elegant
33,Luxury/Premium Brand,Elite Contrast,#000000 (Black),#1A1A1A (Dark),#FFD700 (Gold),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#000000 (Black),7+,21+,Elegance & Wealth,Exclusive
34,Restaurant/Food Service,Appetizing Warmth,#EA580C (Orange),#F97316 (Light Orange),#8B4513 (Brown),#16A34A (Green),#FACC15 (Yellow),#DC2626 (Red),#FFF7ED (Cream),#431407 (Dark Brown),4.5+,7+,Freshness & hunger,Appetizing
35,Fitness/Gym App,High Energy,#F97316 (Orange),#FB923C (Light Orange),#3B82F6 (Blue),#22C55E (Green),#FBBF24 (Yellow),#EF4444 (Red),#0F172A (Dark Blue),#FFFFFF (White),4.5+,7+,Motivational energy,Active
36,Real Estate/Property,Established Trust,#0369A1 (Sky),#0EA5E9 (Blue),#B45309 (Amber),#15803D (Green),#D97706 (Orange),#BE123C (Rose),#FFFFFF (White),#0F172A (Dark),4.5+,7+,Financial safety,Professional
37,Travel/Tourism,Adventure Blue,#0284C7 (Blue),#0EA5E9 (Sky),#F59E0B (Amber),#16A34A (Green),#F97316 (Orange),#DC2626 (Red),#F0F9FF (Light Blue),#082F49 (Dark Blue),4.5+,7+,Exploration & sky,Adventurous
38,Hotel/Hospitality,Warm Welcome,#7C2D12 (Deep Brown),#9A3412 (Brown),#F59E0B (Amber),#15803D (Green),#D97706 (Orange),#BE123C (Rose),#FFF7ED (Cream),#431407 (Dark Brown),4.5+,7+,Comfort & service,Elegant
39,Wedding/Event,Romantic Palette,#EC4899 (Pink),#F472B6 (Light Pink),#F59E0B (Gold),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFF1F2 (Cream),#4C0519 (Dark Rose),4.5+,7+,Celebratory feel,Romantic
40,Legal Services,Judicial Navy,#1E3A8A (Navy),#1E40AF (Blue),#94A3B8 (Slate),#059669 (Emerald),#D97706 (Amber),#B91C1C (Red),#FFFFFF (White),#0F172A (Slate),4.5+,7+,Credibility focus,Authoritative
41,Insurance Platform,Safe Harbor,#2563EB (Blue),#3B82F6 (Light Blue),#10B981 (Green),#059669 (Emerald),#F59E0B (Amber),#EF4444 (Red),#F8FAFC (Light),#1E293B (Dark),4.5+,7+,Security & trust,Reliable
42,Banking/Finance,Secure Wealth,#0F172A (Navy),#1E293B (Slate Blue),#F59E0B (Amber),#10B981 (Green),#F97316 (Orange),#EF4444 (Red),#FFFFFF (White),#0F172A (Navy),4.5+,7+,Financial stability,Professional
43,Online Course,Smart Learning,#4F46E5 (Indigo),#6366F1 (Blue),#FACC15 (Yellow),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#F5F3FF (Light Blue),#1E1B4B (Dark Blue),4.5+,7+,Growth & knowledge,Intelligent
44,Non-profit/Charity,Heart & Compassion,#DC2626 (Red),#EF4444 (Rose),#22C55E (Green),#16A34A (Green),#F59E0B (Amber),#BE123C (Deep Red),#FFFFFF (White),#111827 (Dark),4.5+,7+,Human connection,Caring
45,Music Streaming,Rhythm Dark,#121212 (Dark),#1DB954 (Spotify Green),#6366F1 (Indigo),#22C55E (Green),#FBBF24 (Yellow),#EF4444 (Red),#121212 (Dark),#FFFFFF (White),7+,21+,Focus on media,Modern
46,Video Streaming,Cinema Night,#000000 (Black),#1A1A1A (Dark),#E50914 (Netflix Red),#22C55E (Green),#F59E0B (Amber),#EF4444 (Red),#000000 (Black),#FFFFFF (White),7+,21+,Content focus,Exciting
47,Job Board,Career Blue,#2563EB (Blue),#3B82F6 (Light Blue),#10B981 (Green),#059669 (Emerald),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#1F2937 (Grey),4.5+,7+,Professionalism,Reliable
48,Marketplace (P2P),Active Trade,#2563EB (Blue),#10B981 (Green),#F59E0B (Amber),#16A34A (Green),#EA580C (Orange),#DC2626 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Energy & trust,Lively
49,Logistics/Delivery,Speedy Service,#2563EB (Blue),#F97316 (Orange),#10B981 (Green),#16A34A (Green),#EA580C (Orange),#DC2626 (Red),#FFFFFF (White),#1F2937 (Dark),4.5+,7+,Action & alert,Efficient
50,Agriculture/Farm,Earth & Growth,#15803D (Green),#166534 (Dark Green),#78350F (Brown),#16A34A (Green),#FACC15 (Yellow),#DC2626 (Red),#F0FDF4 (Light Green),#064E3B (Dark Green),4.5+,7+,Natural & organic,Stable
51,Construction/Arch,Solid Structural,#4A4A4A (Grey),#2563EB (Blue),#EA580C (Safety Orange),#16A34A (Green),#FACC15 (Yellow),#DC2626 (Red),#F9FAFB (Light),#111827 (Dark),4.5+,7+,Precision & safety,Professional
52,Automotive,Precision Gear,#1A1A1A (Dark),#374151 (Grey),#3B82F6 (Blue),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFFFFF (White),#111827 (Dark),4.5+,7+,Tech & machinery,Reliable
53,Photography,Visual Canvas,#000000 (Black),#FFFFFF (White),#3B82F6 (Blue),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#000000 (Black),7+,21+,Zero distraction,Artistic
54,Coworking Space,Social Energy,#EC4899 (Pink),#F472B6 (Light Pink),#3B82F6 (Blue),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFFFFF (White),#1F2937 (Dark),4.5+,7+,Modern workspace,Connected
55,Home Services,Reliable Care,#2563EB (Blue),#3B82F6 (Light Blue),#EA580C (Orange),#16A34A (Green),#FACC15 (Yellow),#DC2626 (Red),#FFFFFF (White),#1F2937 (Dark),4.5+,7+,Trust & safety,Friendly
56,Childcare/Daycare,Cheerful Safety,#F43F5E (Rose),#FB7185 (Pink),#3B82F6 (Blue),#22C55E (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFF1F2 (Cream),#4C0519 (Dark),4.5+,7+,Playful but safe,Cheerful
